label,project,method,record,slot,severity,category,issue_excerpt
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,core,subsets / splits,medium,missing supported information,The core record drops `splits` and `subsets` entirely and relocates the recommended 70/15/15 split and all per-split counts into the free-text `notes` blob (item 13). The bundle clearly and specifical
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,core,relationships / related_datasets / file_collections / variables / total_file_count / total_size_bytes / citation / participant_compensation / third_party_sharing / collection_notifications / collection_consents / consent_revocations / direct_collection,medium,missing supported information,"Thirteen slots populated in the full record are absent from the core record, with their content compressed into the `notes` blob (file/byte totals, citation, compensation, version relationships) or dr"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,notes,low,missing supported information,The `notes` slot is described as content that 'fits no dedicated slot.' Several numbered items have dedicated slots and are therefore misplaced: item (2) 'no data protection impact analysis has been c
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,data_protection_impacts,low,missing supported information,"Omission the bundle clearly supports. The healthsheet Collection Q12 asks whether a data protection impact analysis was conducted and answers 'No, a data protection impact analysis has not been conduc"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,existing_uses,low,missing supported information,"Omission the bundle supports. Healthsheet Uses Q1: 'Has the dataset been used for any tasks already?' — 'No'. This is a documented answer, recorded only as notes item (3) in both records. Omitting the"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,labeling_strategies / annotation_analyses / machine_annotation_tools,low,other,Correctly omitted — the healthsheet answers the entire labeling section 'N/A - no labels are provided'. The fact is captured in instances[].label_description. No defect; noted to confirm the omission 
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,collection_timeframes[3] (full) / [3] (core),low,other,"The fourth CollectionTimeframe object populates only `timeframe_details` with per-participant visit duration, and contains an unresolved internal inconsistency stated inline: 'Approximately 10 percent"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,is_deidentified.method,low,inconsistent identifier/count,The `method` field carries a multi-sentence explanation of the FAIRhub deIdent* metadata flags rather than a method designation. Deidentification separately declares `deidentification_details` and `no
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,variables,low,other,Roughly 40 of the ~85 VariableMetadata objects put the laboratory reference range into free-text `notes` (e.g. 'Reference range 3.6-5.2') while leaving the declared `minimum_value` and `maximum_value`
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,variables[].data_type,low,other,"'Monofilament touch perception' is typed `categorical` with categories, which is fine, but 'ECG recording position' is also `categorical` with ordered angular values (0/30/60/90 degrees) where `ordina"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,known_biases[].bias_type,low,other,"All five bias_type values (selection_bias, sampling_bias, representation_bias, historical_bias, measurement_bias) are within the declared enum. No defect. Noted for completeness of enum audit."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,known_limitations[].limitation_type,low,other,"All six limitation_type values (representativeness_limitation, coverage_limitation x2, scope_limitation, temporal_limitation, methodological_limitation) are within the declared enum. No defect. Noted "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,license_and_use_terms.data_use_permission,low,missing supported information,Value `disease_specific_research` is within the declared enum and is well supported (access requires attesting to type 2 diabetes related research). However the bundle also supports `publication_requi
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,maintainers[1].role,low,other,FAIRhub/Microsoft Azure hosting is assigned role `other`. The Maintainer role enum includes `academic_institution` and `non_profit_organization`; FAIRhub is developed by the FAIR Data Innovations Hub 
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,id,low,dataset/release/temporal scope error,"`id` is set to https://doi.org/10.60775/fairhub.3 while `doi` is 10.60775/fairhub.3. Consistent and schema-legal (uriorcurie). Noted only to confirm the single-referent choice (v3.0.0, not the abstrac"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,issued,low,unsupported claim,"Value '2025-11-17T00:00:00Z' synthesizes a time component and UTC offset not present in the bundle, which gives only the date 2025-11-17. Minor over-specification forced by the datetime range; flagged"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,status,low,dataset/release/temporal scope error,"`status` (range string, 'e.g., draft, published, deprecated') carries a three-sentence paragraph covering publication state, the superseded status of v1/v2, and ongoing enrollment. The latter two fact"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,conforms_to / conforms_to_schema,low,unsupported claim,`conforms_to` = 'Clinical Dataset Structure (CDS) v0.1.1' and `conforms_to_schema` = the CDS readthedocs URL. Supported. Note the bundle also records a distinct AI-READI schema (https://schema.aireadi
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,sampling_strategies[0].is_representative,low,other,"Set to `false` with a populated why_not_representative. Well supported (volunteer bias, urban/hospital recruitment, excluded groups). However `is_sample: true` sits in tension with the healthsheet's o"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,creators,high,other,"Every Creator object leaves the declared fields empty and packs the person's name, role and provenance into `notes`. The Creator range declares `principal_investigator`, `credit_roles` and `affiliatio"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,creators,high,other,Same defect as the full record — all six Creator objects have empty declared fields with the name buried in free-text `notes`.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,creators[6],medium,inconsistent identifier/count,The seventh entry ('The CHoRUS consortium as a whole: 60+ members across 20 different institutions') is not a distinct creator entity but an aggregate commentary about the other entries. It duplicates
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,creators[6],medium,other,Same aggregate-commentary pseudo-entity as in the full record.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,distribution_formats,medium,other,"A single DistributionFormat object with only `notes` collapses nine distinct formats (OMOP, OHNLP, DICOM, WFDB/PhysioNet-extended, EDF+/Persyst) plus the enclave access route into one prose blob. The "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,distribution_formats,medium,other,Same single-object collapse of nine distinct distribution formats.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,license,medium,missing supported information,"Omitted although the bundle supports it: the GitHub organization README states 'This project is licensed under the MIT License.' Note this applies to CHoRUS software, not the dataset, so if populated "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,collection_timeframes,medium,unsupported claim,"`start_date` and `end_date` are declared fields on CollectionTimeframe and are left empty while the dates (project start 2022-09-01, project end 2026-11-30) are stated in the prose of `timeframe_detai"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,file_collections,medium,inconsistent identifier/count,`collection_type` is a declared field on FileCollection with an enum including `raw_data` and `processed_data`; all nine modality collections leave it unset while the access-control and metadata-schem
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,resources,medium,other,"The nine modality entries plus the holdout test set were remapped from `file_collections`/`subsets` into `resources`. The holdout test set is a data split, not a component resource; the full record co"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,instances,medium,dataset/release/temporal scope error,"`counts: 50000` asserts a single figure while the object's own `notes` records three mutually inconsistent counts from three sources (50,000 released admissions per the website, 'over 45K unique admis"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,instances,medium,inconsistent identifier/count,Same silent selection among disagreeing admission counts and same unpopulated declared fields.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,sampling_strategies,low,other,"`is_sample: true` is asserted, but the bundle describes sampling as an intended design goal ('federated access will enable sampling methods to ensure a balanced and diverse cohort') rather than a comp"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,sampling_strategies,low,other,Same forward-looking intent asserted as realized fact.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,external_resources,low,other,"All three ExternalResource objects use only `notes`; the range declares `external_resources`, `archival`, `restrictions` and `future_guarantees`. The URLs (https://chorus4ai.org/, https://github.com/c"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,external_resources,low,other,Same — URLs embedded in prose rather than placed in the declared `external_resources` field.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,maintainers,low,other,All three Maintainer objects populate only `maintainer_details`; `role` is a declared enum field and the bundle supports `academic_institution` for the MGH program manager entry. Names and email addre
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,maintainers,low,other,Same — `role` enum unset across all three entries.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,notes,low,other,"The contact address 'cmccrary@mgh.havard.edu' contains an evident typo in the source ('havard'). It is correctly reproduced verbatim with an explicit annotation, which is the right handling, but the s"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,license_and_use_terms,low,other,`data_use_permission` is a declared enum field and is unset. The bundle supports `ethics_approval_required`-adjacent and `institution_specific` semantics (a signed licensing agreement plus a mandatory
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,human_subject_research,low,missing supported information,"`involves_human_subjects: true` is asserted and `special_populations` is left unset, although the bundle states the released cohort includes PICU and NICU admissions — i.e. minors and neonates. The re"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,human_subject_research,low,other,Same — `special_populations` unset despite explicit PICU/NICU coverage in the bundle.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,ethical_reviews,low,missing supported information,"`reviewing_organization` and `contact_person` are declared fields left unset. The bundle describes ethics activity (focus groups, legal/regulatory analysis) but does not name an IRB or ethics committe"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,known_biases,low,unsupported claim,"`bias_type: representation_bias` is an inference. The bundle states the project works to 'manage privacy and bias' and to build a 'diverse' cohort, but never identifies a specific bias type present in"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,known_biases,low,other,Same enum categorization not made by the bundle.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,existing_uses,low,other,Both ExistingUse objects use only `notes`; `examples` is a declared field and the training-program use is a concrete example that belongs there.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,known_limitations,low,other,The scope_limitation entry asserts the 20 academic centers are 'all located in the United States'. The bundle places the CHoRUS GitHub organization in 'United States of America' and lists US-based eli
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,known_limitations,low,unsupported claim,Same unsupported 'all located in the United States' claim about the contributing centers.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,citation,low,other,"Omitted. The bundle supplies no recommended citation, so omission is correct — noted only to confirm the absence was checked and is not a gap."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,is_deidentified,low,inconsistent identifier/count,"`identifiable_elements_present`, `identifiers_removed` and `method` are declared fields left unset while tokenization and imaging de-identification are described in prose. `method` in particular is su"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,core,notes,low,other,"The core `notes` field absorbs four distinct facts displaced from full-record slots that the core schema may not declare (holdout split, third-party sharing, direct-collection status). This is the doc"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,full,status,low,missing supported information,The website banner 'This repoitory is under review for potential modification in compliance with Administration directives' is a status-bearing statement about the resource and is recorded only in `no
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,distributions,high,unsupported claim,"The slot `distributions` is not declared in the supplied Dataset slot inventory, and no such slot appears in the schema digest for either record. Its member keys (`path`, `bytes`, `format`, `media_typ"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,at_risk_populations,high,other,Emitted as a single mapping in the core record and as a list of one in the full record. The full record's list form is wrong: `at_risk_populations` has range AtRiskPopulations and is NOT marked [many]
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,full,creators,medium,other,"Every Creator object populates `principal_investigator` with a person or organization name but leaves `credit_roles` unpopulated throughout, while the evidence supports role assignment for several ent"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,full,citation,medium,missing supported information,"Omitted from both records although the bundle supports it. The FAIRhub record states 'When using this resource, please follow the citation instructions provided at https://docs.aireadi.org/docs/3/cita"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,existing_uses,medium,missing supported information,Omitted. The bundle directly supports a negative: healthsheet 'uses' question 1 asks 'Has the dataset been used for any tasks already?' and the answer is 'No'. The FAIRhub record additionally reports 
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,use_repository,medium,missing supported information,"Omitted. The bundle supports an explicit negative: healthsheet 'uses' question 3 asks whether a repository links to papers or systems that use the dataset, answered 'No'. UseRepository declares `notes"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,errata,medium,other,"Omitted. The healthsheet maintenance question 3 ('Is there an erratum?') has an empty response string in the source, meaning the question was left unanswered rather than answered in the negative. Omis"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,extension_mechanism,medium,missing supported information,"Omitted although the bundle supports a clear answer: healthsheet maintenance question 7 states 'No, currently there is no mechanism for others to extend or augment the AI-READI dataset outside of thos"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,data_protection_impacts,medium,missing supported information,"Omitted although the bundle supports a clear negative: healthsheet collection question 12 states 'No, a data protection impact analysis has not been conducted.' DataProtectionImpact declares `impact_d"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,labeling_strategies,medium,missing supported information,Omitted although the bundle addresses labeling explicitly and repeatedly: the healthsheet 'labeling' section answers 'N/A - no labels are provided' and 'No specific labeling was performed in the datas
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,annotation_analyses,medium,other,Omitted. Consistent with 'no labels are provided' and no inter-annotator agreement being reported; omission is correct. Recorded to confirm the check.
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,machine_annotation_tools,medium,other,"Omitted. No automated annotation tools are described in the bundle; the OMOP DQD tool is a quality-check tool, correctly placed under `cleaning_strategies` rather than here. Omission correct."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,imputation_protocols,medium,missing supported information,"Omitted. Supported by the bundle only as a negative implied by 'No imputation is applied', which the records carry in `missing_data_documentation[0].handling_strategy`. Omission acceptable."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,full,discouraged_uses,medium,missing supported information,Omitted from the full record while `prohibited_uses` is heavily populated. The healthsheet motivation question 3 asks about discouraged usage and answers by pointing to the license restrictions; the u
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,relationships,low,other,"Present in the full record as a `relationships` entry but absent as a slot in the core record, where the same content was folded into `instances[0].notes` ('All instances are part of the same prospect"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,subsets,low,inconsistent identifier/count,"The full record carries three DataSubset objects for the recommended train/validation/test splits, each with `id`, `is_data_split: true` and instance counts. The core record drops `subsets` and `split"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,splits,low,other,"Same as above. The full record has a `splits` entry with `split_details`; the core record has none, with the content relocated to `notes`."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,total_file_count / total_size_bytes,low,missing supported information,"The full record populates `total_file_count: 356343` and `total_size_bytes: 3815969779678` as declared integer slots. The core record omits both and instead states them in prose inside `notes` ('356,3"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,participant_compensation,low,other,"The full record carries a HumanSubjectCompensation object with `compensation_amount: '$200 USD'`, `compensation_provided: true` and `compensation_type`. The core record drops the slot and folds the fa"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,participant_privacy,low,other,"The full record carries a ParticipantPrivacy object with `anonymization_method`, a seven-item `privacy_techniques` list, `reidentification_risk` and `data_linkage`. The core record drops the slot and "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,collection_consents / collection_notifications / consent_revocations,low,other,The full record carries these as three separate slots with distinct objects. The core record drops all three and folds their content into `informed_consent[0].notes` and `informed_consent[0].withdrawa
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,third_party_sharing,low,other,"The full record carries a ThirdPartySharing object with `is_shared: true`. The core record drops the slot and folds the content into `license_and_use_terms.notes`. Conditional demotion, as above."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,direct_collection,low,other,"The full record carries three DirectCollection objects with the `is_direct` boolean set true/false/false, distinguishing direct participant collection from EHR-derived and DoL-derived material. The co"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,related_datasets,low,inconsistent identifier/count,"The full record carries three DatasetRelationship objects (two `is_new_version_of`, one `is_source_of` pointing at the mini version, DOI 10.60775/fairhub.4). The core record drops the slot and mention"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,core,variables,low,other,"The full record carries 57 VariableMetadata objects with `variable_name`, `data_type`, `unit`, `measurement_technique`, reference ranges and sensitivity flags. The core record omits `variables` entire"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,full,license,low,dataset/release/temporal scope error,"Value is 'AI-READI custom license v2.0 (https://doi.org/10.5281/zenodo.17555036)'. The declared range is a plain string and the schema comment gives examples of the form 'MIT', 'CC-BY-4.0'. Embedding "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,publisher,low,inconsistent identifier/count,"Value is 'https://fairhub.io/' with declared range uriorcurie, which the value satisfies. However the FAIRhub metadata gives `publisher.publisherName: 'FAIRhub'` and separately records `managingOrgani"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,issued,low,unsupported claim,"Value '2025-11-17T00:00:00Z' synthesises a time component and timezone not present in the bundle, which gives the date as '2025-11-17' (dateType Available) and the FAIRhub created_at epoch 1763366400."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,full,file_collections[].conforms_to,low,other,"FileCollection accepts the same slots as the top-level listing, which includes `conforms_to` (a string), so the usage conforms. Values such as 'Digital Imaging and Communications in Medicine (DICOM)' "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,subpopulations[].subpopulation_elements_present,low,inconsistent identifier/count,"For the race/ethnicity and sex entries the flag is set false while `distribution` supplies concrete counts (Hispanic 380, Asian 545, Black 519, White 836; male 951, female 1329). The `notes` correctly"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,is_deidentified.method,low,other,Value states 'HIPAA Safe Harbor' and then quotes the FAIRhub metadata's contradictory `deIdentType: 'NoDeIdentification'`. The bundle genuinely contains both claims and `deidentification_details` reco
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,regulatory_restrictions.hipaa_compliant,low,unsupported claim,"Set to `compliant`, a permitted enum value. The bundle does not use the word 'compliant' of the dataset as a whole; it states that PHI was removed per the HIPAA Safe Harbor method and that results are"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,regulatory_restrictions.confidentiality_level,low,unsupported claim,"Set to `restricted`, a permitted enum value. The bundle does not assign a confidentiality level; the value is inferred from the verified-ID login and self-attestation gate. Defensible but inferential."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,license_and_use_terms.data_use_permission,low,other,"Set to `disease_specific_research`, a permitted enum value, supported by the access condition 'Agreeing to use the data only for type 2 diabetes related research'. However the license simultaneously g"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,acquisition_methods[3],low,unsupported claim,"The derived-variable entry lists 'blood urea nitrogen/creatinine ratio' and 'calculated total globulin and A/G ratio' as inferred. The bundle's Table 2 marks 'Globulin, total (calculated)', 'A/G ratio"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,full,variables[].measurement_technique for lipid panel entries,low,missing supported information,"Total cholesterol, triglycerides, HDL-C and LDL-C omit `measurement_technique` while neighbouring serum analytes populate it with 'Serum assay performed by the University of Washington NORC laboratory"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,collection_timeframes[1].start_date,low,other,"Value '2023-07-18' is taken from the protocol publication ('Enrolment began on 18 July 2023'), while entry [0] and [2] use '2023-07-19' from the FAIRhub metadata. The one-day disagreement is real in t"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,notes (dataset-level),low,inconsistent identifier/count,"The four numbered source disagreements are recorded in the dataset-level `notes` free-text field rather than distributed to the slots they bear on. Item (2), the 4000-vs-4600 target enrolment, bears o"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,id,low,unsupported claim,"Both records use 'https://doi.org/10.60775/fairhub.3' as the id, and the full record's `subsets[].id` values derive fragment identifiers from it ('...#split-train'). The fragment URIs are constructed "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,keywords,low,other,"Ten keywords are listed, merging the FAIRhub dataset `subject` list (7 terms) with study-level `keywordList` terms ('Type 2 Diabetes', 'Data Sharing', 'Exploratory Data Collection'). Mixing dataset-le"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,both,created_by,low,inconsistent identifier/count,Value 'AI-READI Consortium' duplicates `creators[0].principal_investigator`. Both are bundle-supported (the FAIRhub creator block gives exactly this organizational name); the duplication is harmless b
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,CHORUS,claudecode_agent,full,creators,high,unsupported claim,"Every Creator object carries the person's name only inside `notes` free text (e.g. ""Eric S. Rosenthal; principal investigator of NIH award...""). Creator declares `affiliations`, `credit_roles`, `princ"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,CHORUS,claudecode_agent,core,creators,medium,other,"Same defect as the full record: the seventh Creator entry is a consortium headcount statement rather than a distinct creating entity, populating a multivalued slot with a non-entity."
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,CHORUS,claudecode_agent,full,file_collections,high,inconsistent identifier/count,"All nine FileCollection objects leave the declared FileCollection fields (`collection_type`, `file_count`, `path`, `total_bytes`, `distribution_formats`) empty and push the substantive content — acces"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,CHORUS,claudecode_agent,full,distribution_formats,medium,inconsistent identifier/count,"Six DistributionFormat objects are emitted with only `notes` populated; `access_urls` is never used even though the bundle supplies no per-format URL, and the sixth entry describes the access route (C"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,CHORUS,claudecode_agent,core,distribution_formats,medium,other,Identical defect carried over: the sixth entry records the enclave access route rather than a distribution format.
