job_id,rubric,project,cohort,generation_rep,rating,purpose,passed,failed,warnings,n_issues,n_weaknesses,n_correctness_validations
VOICE_v8_rep1_r20_rating1,rubric20-semantic,VOICE,v8,1,1,primary,20,2,4,11,7,7
VOICE_v8_rep2_r10_rating1,rubric10-semantic,VOICE,v8,2,1,primary,20,2,8,12,6,9
VOICE_v8_rep2_r20_rating1,rubric20-semantic,VOICE,v8,2,1,primary,19,3,7,15,8,6
VOICE_v8_rep3_r10_rating1,rubric10-semantic,VOICE,v8,3,1,primary,20,2,14,11,6,8
VOICE_v8_rep3_r20_rating1,rubric20-semantic,VOICE,v8,3,1,primary,22,2,6,11,7,8
AI_READI_v7_rep1_r10_rating2,rubric10-semantic,AI_READI,v7,1,2,repeatability,21,1,6,8,6,9
AI_READI_v7_rep1_r10_rating3,rubric10-semantic,AI_READI,v7,1,3,repeatability,20,2,8,7,8,7
CHORUS_v7_rep1_r10_rating2,rubric10-semantic,CHORUS,v7,1,2,repeatability,17,5,9,15,8,9
CHORUS_v7_rep1_r10_rating3,rubric10-semantic,CHORUS,v7,1,3,repeatability,12,4,6,14,5,8
CM4AI_v7_rep1_r10_rating2,rubric10-semantic,CM4AI,v7,1,2,repeatability,19,2,7,14,6,9
CM4AI_v7_rep1_r10_rating3,rubric10-semantic,CM4AI,v7,1,3,repeatability,20,2,4,10,6,9
VOICE_v7_rep1_r10_rating2,rubric10-semantic,VOICE,v7,1,2,repeatability,18,2,3,10,6,7
VOICE_v7_rep1_r10_rating3,rubric10-semantic,VOICE,v7,1,3,repeatability,20,2,5,11,5,7
